Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
TOI-1246 c,,251.1158702,70.4299917,,,,,,
TOI-1246 d,,251.1158702,70.4299917,,,,,,
TOI-1246 e,,251.1158702,70.4299917,,,,,,
TOI-125 b,,23.5934253,-66.6763495,,,,,,
TOI-125 c,,23.5934253,-66.6763495,,,,,,
TOI-125 d,,23.5934253,-66.6763495,,,,,,
TOI-1259 A b,,282.1001665,79.2564761,,,,,,
TOI-1260 b,,157.1440712,65.8541986,,,,,,
TOI-1260 c,,157.1440712,65.8541986,,,,,,
TOI-1260 d,,157.1440712,65.8541986,,,,,,
TOI-1266 b,,197.9965833,65.8336973,,,,,,
TOI-1266 c,,197.9965833,65.8336973,,,,,,
TOI-1269 b,,249.6966397,64.559181,,,,,,
TOI-1272 b,,199.1962036,49.8610591,,,,,,
TOI-1272 c,,199.1962036,49.8610591,,,,,,
TOI-1278 b,,320.4784442,35.648625,,,,,,
TOI-1279 b,,185.0628734,56.2014094,,,,,,
TOI-1347 b,,280.3266806,70.2900536,,,,,,
TOI-1347 c,,280.3266806,70.2900536,,,,,,
TOI-1410 c,,334.8828486,42.5603141,,,,,,
TOI-1410.01,,334.8828486,42.5603141,,,,,,
TOI-1411 b,,232.946047,47.0555507,,,,,,
TOI-1416 b,,216.9234892,41.9529862,,,,,,
TOI-1437 b,,256.1387513,56.842549,,,,,,
TOI-1443 b,,297.398678,76.1391776,,,,,,
TOI-1444 b,,305.4749252,70.9437054,,,,,,
TOI-1448 b,,316.324003,57.7710946,,,,,,
TOI-1467 b,,19.1146441,49.2331382,,,,,,
TOI-1470 b,,10.0891431,61.2133868,,,,,,
TOI-1470 c,,10.0891431,61.2133868,,,,,,
TOI-1634 b,,56.3906096,37.1122803,,,,,,
TOI-1669 c,,45.9564744,83.5874273,,,,,,
TOI-1680 b,,292.313979,65.9738018,,,,,,
TOI-1685 b,,68.5939529,43.0370395,,,,,,
TOI-1694 b,,97.7487104,66.3605956,,,,,,
TOI-1695 b,,21.9217346,72.2966148,,,,,,
TOI-1696 b,,65.280648,48.8198312,,,,,,
TOI-1728 b,,120.6116787,64.7971531,,,,,,
TOI-1736 b,,43.4344615,69.101345,,,,,,
TOI-1739 b,,240.172481,83.2586589,,,,,,
TOI-1751 b,,243.4888534,63.5335297,,,,,,
TOI-1753 b,,252.4698351,61.1735768,,,,,,
TOI-1758 b,,354.741581,75.6852317,,,,,,
TOI-1759 b,,326.8516615,62.7538164,,,,,,
TOI-1776 b,,164.7772913,40.9837182,,,,,,
TOI-178 b,,7.3020115,-30.4541159,,,,,,
TOI-178 c,,7.3020115,-30.4541159,,,,,,
TOI-178 d,,7.3020115,-30.4541159,,,,,,
TOI-178 e,,7.3020115,-30.4541159,,,,,,
TOI-178 f,,7.3020115,-30.4541159,,,,,,
TOI-178 g,,7.3020115,-30.4541159,,,,,,
TOI-1798.01,,211.0939367,46.5192825,,,,,,
TOI-1798.02,,211.0939367,46.5192825,,,,,,
TOI-1799 b,,167.2329152,34.3030149,,,,,,
TOI-1801 b,,175.5755995,23.0270335,,,,,,
TOI-1807 b,,201.2826259,38.9223671,,,,,,
TOI-1824 b,,197.7312286,61.7448492,,,,,,
TOI-1836 c,,245.9079242,54.6900774,,,,,,
TOI-1853 b,,211.4593468,16.9923703,,,,,,
TOI-1860 b,,226.4567308,64.0476821,,,,,,
TOI-198 b,,2.2715087,-27.1217452,,,,,,
TOI-2015 b,,232.1326528,27.361073,,,,,,
TOI-2068 b,,186.27356,60.4183455,,,,,,
TOI-2076 b,,217.3920159,39.7903991,,,,,,
TOI-2076 c,,217.3920159,39.7903991,,,,,,
TOI-2076 d,,217.3920159,39.7903991,,,,,,
TOI-2081 b,,264.3022634,53.0255666,,,,,,
TOI-2084 b,,259.2545389,72.7470231,,,,,,
TOI-2096 b,,151.6186989,74.8272107,,,,,,
TOI-2096 c,,151.6186989,74.8272107,,,,,,
TOI-2120 b,,23.507315,65.5139877,,,,,,
TOI-2128 b,,256.9817998,32.1053027,,,,,,
TOI-2134 b,,271.9355015,39.0729269,,,,,,
TOI-2134 c,,271.9355015,39.0729269,,,,,,
TOI-2136 b,,281.1763433,36.5631318,,,,,,
TOI-2141 b,,258.7623456,18.3403449,,,,,,
TOI-220 b,,91.7996988,-61.9972098,,,,,,
TOI-2257 b,,194.7396141,77.6617157,,,,,,
TOI-2374 b,,319.4982407,-22.0498228,,,,,,
TOI-238 b,,349.2310814,-18.6066463,,,,,,
TOI-238 c,,349.2310814,-18.6066463,,,,,,
TOI-2406 b,,8.8060544,-3.3720833,,,,,,
TOI-244 b,,10.5697537,-36.7179743,,,,,,
TOI-260 b,,4.7730178,-9.9661505,,,,,,
TOI-261.01,,15.2181412,-24.4239934,,,,,,
TOI-269 b,,75.8462827,-54.1777213,,,,,,
TOI-270 b,,68.4160804,-51.9573937,,,,,,
TOI-270 c,,68.4160804,-51.9573937,,,,,,
TOI-270 d,,68.4160804,-51.9573937,,,,,,
TOI-277 b,,19.0766985,-20.9532772,,,,,,
TOI-286 b,,90.9842762,-60.6663348,,,,,,
TOI-286 c,,90.9842762,-60.6663348,,,,,,
TOI-3235 b,,207.4738488,-46.0665139,,,,,,
TOI-3261 b,,47.7285242,-73.531972,,,,,,
TOI-3568 b,,322.6023682,34.7395805,,,,,,
TOI-3629 b,,359.7933851,39.3142556,,,,,,
TOI-3714 b,,69.5523415,39.4580035,,,,,,
TOI-3757 b,,91.0036423,55.0199793,,,,,,
TOI-3785 b,,130.9002258,63.0780768,,,,,,
TOI-3884 b,,181.5718341,12.5070258,,,,,,
TOI-3984 A b,,226.3371468,36.7869747,,,,,,
TOI-4010 b,,20.2148196,66.0722009,,,,,,
TOI-4010 c,,20.2148196,66.0722009,,,,,,
TOI-4010 d,,20.2148196,66.0722009,,,,,,
TOI-411 b,,54.819538,-42.7630276,,,,,,
TOI-411 c,,54.819538,-42.7630276,,,,,,
TOI-4184 b,,43.8284749,-79.4147039,,,,,,
TOI-421 b,,81.8532824,-14.2767404,,,,,,
TOI-421 c,,81.8532824,-14.2767404,,,,,,
TOI-431 b,,83.2692502,-26.7238698,,,,,,
TOI-431 c,,83.2692502,-26.7238698,,,,,,
TOI-431 d,,83.2692502,-26.7238698,,,,,,
TOI-4336 A b,,206.1070129,-40.3373505,,,,,,
TOI-4438 b,,270.3172389,35.5948992,,,,,,
TOI-444 b,,64.1839982,-26.7664071,,,,,,
TOI-4479 b,,316.0969388,24.6536739,,,,,,
TOI-4559 b,,211.0135378,-30.0141252,,,,,,
TOI-470 b,,94.0099043,-25.0314111,,,,,,
TOI-4860 b,,183.563961,-13.1748411,,,,,,
TOI-500 b,,106.559098,-47.5878156,,,,,,
TOI-519 b,,124.6067582,-19.6627918,,,,,,
TOI-5205 b,,313.7706819,24.360977,,,,,,
TOI-5293 A b,,355.828682,-2.0450945,,,,,,
TOI-530 b,,103.4128333,12.8815784,,,,,,
TOI-532 b,,85.0800537,11.5626373,,,,,,
TOI-544 b,,82.2900716,-0.3428983,,,,,,
TOI-561 b,,148.1851516,6.216103,,,,,,
TOI-561 c,,148.1851516,6.216103,,,,,,
TOI-561 d,,148.1851516,6.216103,,,,,,
TOI-561 e,,148.1851516,6.216103,,,,,,
TOI-5799 b,,301.630179,15.9891418,,,,,,
TOI-6034 b,,317.9001392,68.4020762,,,,,,
TOI-6086 b,,265.3704236,30.3037755,,,,,,
TOI-620 b,,142.1734459,-12.1671652,,,,,,
TOI-663 b,,160.0658525,-8.5110827,,,,,,
TOI-663 c,,160.0658525,-8.5110827,,,,,,
TOI-663 d,,160.0658525,-8.5110827,,,,,,
TOI-669 b,,158.9007013,-5.1813735,,,,,,
TOI-674 b,,164.5865592,-36.8581092,,,,,,
TOI-700 b,,97.0957165,-65.5786149,,,,,,
TOI-700 c,,97.0957165,-65.5786149,,,,,,
TOI-700 d,,97.0957165,-65.5786149,,,,,,
TOI-700 e,,97.0957165,-65.5786149,,,,,,
TOI-712 b,,92.9361063,-65.8258386,,,,,,
TOI-712 c,,92.9361063,-65.8258386,,,,,,
TOI-712 d,,92.9361063,-65.8258386,,,,,,
TOI-715 b,,113.8523276,-73.5774089,,,,,,
TOI-733 b,,159.4093183,-40.888259,,,,,,
TOI-757 b,,187.9948428,-35.5544523,,,,,,
TOI-762 A b,,166.0747423,-47.8214964,,,,,,
TOI-763 b,,194.468098,-39.7580613,,,,,,
TOI-763 c,,194.468098,-39.7580613,,,,,,
TOI-771 b,,164.1138903,-72.9851736,,,,,,
TOI-776 b,,178.577997,-37.5533568,,,,,,
TOI-776 c,,178.577997,-37.5533568,,,,,,
TOI-782 b,,183.9203614,-18.9103377,,,,,,
TOI-784 b,,159.3412205,-63.6556923,,,,,,
TOI-815 b,,155.8719377,-43.8349248,,,,,,
TOI-815 c,,155.8719377,-43.8349248,,,,,,
TOI-824 b,,222.1654705,-57.5888666,,,,,,
TOI-836 b,,225.0798831,-24.4542022,,,,,,
TOI-836 c,,225.0798831,-24.4542022,,,,,,
TOI-871 b,,74.7376264,-50.6274153,,,,,,
TOI-904 b,,89.3712733,-83.1297264,,,,,,
TOI-904 c,,89.3712733,-83.1297264,,,,,,
TOI-969 b,,115.1366858,2.0985879,,,,,,
TRAPPIST-1 b,,346.6263919,-5.0434618,,,,,,
TRAPPIST-1 c,,346.6263919,-5.0434618,,,,,,
TRAPPIST-1 d,,346.6263919,-5.0434618,,,,,,
TRAPPIST-1 e,,346.6263919,-5.0434618,,,,,,
TRAPPIST-1 f,,346.6263919,-5.0434618,,,,,,
TRAPPIST-1 g,,346.6263919,-5.0434618,,,,,,
TRAPPIST-1 h,,346.6263919,-5.0434618,,,,,,
TYC 2187-512-1 b,,320.5266829,22.9319351,,,,,,
Teegarden's Star b,,43.2691449,16.8649024,,,,,,
Teegarden's Star c,,43.2691449,16.8649024,,,,,,
Teegarden's Star d,,43.2691449,16.8649024,,,,,,
V1298 Tau b,,61.331654,20.1570318,,,,,,
V1298 Tau c,,61.331654,20.1570318,,,,,,
V1298 Tau d,,61.331654,20.1570318,,,,,,
V1298 Tau e,,61.331654,20.1570318,,,,,,
WASP-132 b,,217.6091998,-46.159516,,,,,,
WASP-43 b,,154.9081869,-9.8064431,,,,,,
WASP-47 d,,331.203092,-12.019067,,,,,,
WASP-47 e,,331.203092,-12.019067,,,,,,
WASP-59 b,,349.6229547,24.889277,,,,,,
WASP-6 b,,348.1571282,-22.6741248,,,,,,
WASP-80 b,,303.1667996,-2.1444369,,,,,,
WASP-84 c,,131.1069959,1.8598933,,,,,,
WASP-98 b,,58.4290113,-34.3282716,,,,,,
Wolf 1061 b,,247.5748276,-12.6676866,,,,,,
Wolf 1061 c,,247.5748276,-12.6676866,,,,,,
Wolf 1061 d,,247.5748276,-12.6676866,,,,,,
Wolf 1069 b,,306.5242477,58.5753044,,,,,,
Wolf 327 b,,148.3783199,35.570548,,,,,,
Wolf 503 b,,206.8461979,-6.1393369,,,,,,
YZ Cet b,,18.1330792,-16.9962434,,,,,,
YZ Cet c,,18.1330792,-16.9962434,,,,,,
YZ Cet d,,18.1330792,-16.9962434,,,,,,
gam Psc b,,349.2946794,3.2823664,,,,,,
pi Men c,,84.2992798,-80.4646041,,,,,,
rho CrB b,,240.2600639,33.3001861,,,,,,
rho CrB c,,240.2600639,33.3001861,,,,,,
rho CrB d,,240.2600639,33.3001861,,,,,,
rho CrB e,,240.2600639,33.3001861,,,,,,
tau Cet e,,26.0093029,-15.9337987,,,,,,
tau Cet f,,26.0093029,-15.9337987,,,,,,
tau Cet g,,26.0093029,-15.9337987,,,,,,
tau Cet h,,26.0093029,-15.9337987,,,,,,
