Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
HD 69830 b,,124.6010091,-12.6364246,,,,,,
HD 69830 c,,124.6010091,-12.6364246,,,,,,
HD 69830 d,,124.6010091,-12.6364246,,,,,,
HD 73583 b,,129.6883026,-13.2565267,,,,,,
HD 73583 c,,129.6883026,-13.2565267,,,,,,
HD 7924 b,,20.4956562,76.7101475,,,,,,
HD 7924 c,,20.4956562,76.7101475,,,,,,
HD 7924 d,,20.4956562,76.7101475,,,,,,
HD 85390 b,,147.5105663,-49.7905254,,,,,,
HD 86226 c,,149.1235154,-24.0991859,,,,,,
HD 90156 b,,155.9801144,-29.645103,,,,,,
HD 93351 b,,161.6779279,-1.6885763,,,,,,
HD 93385 b,,161.5627065,-41.464604,,,,,,
HD 93385 c,,161.5627065,-41.464604,,,,,,
HD 93385 d,,161.5627065,-41.464604,,,,,,
HD 93963 A b,,162.7766969,25.641065,,,,,,
HD 95338 b,,164.8563364,-56.6235564,,,,,,
HD 95735 c,,165.834471,35.972317,,,,,,
HD 96700 b,,166.9742616,-30.1751383,,,,,,
HD 96700 c,,166.9742616,-30.1751383,,,,,,
HD 96700 d,,166.9742616,-30.1751383,,,,,,
HD 97658 b,,168.6376584,25.7105962,,,,,,
HD 99492 b,,171.689687,3.0071331,,,,,,
HIP 113103 b,,343.5723794,-43.0102291,,,,,,
HIP 113103 c,,343.5723794,-43.0102291,,,,,,
HIP 116454 b,,353.9543517,0.4447043,,,,,,
HIP 12961 b,,41.6800749,-23.0860048,,,,,,
HIP 29442 c,,93.0578446,-14.6493167,,,,,,
HIP 29442 d,,93.0578446,-14.6493167,,,,,,
HIP 54597 b,,167.6082179,-29.4143018,,,,,,
HIP 57274 b,,176.1705487,30.9576484,,,,,,
HIP 57274 c,,176.1705487,30.9576484,,,,,,
HIP 57274 d,,176.1705487,30.9576484,,,,,,
HIP 79431 b,,243.1742467,-18.8764247,,,,,,
HIP 8152 b,,26.2092533,-18.4013844,,,,,,
HIP 8152 c,,26.2092533,-18.4013844,,,,,,
HIP 9618 b,,30.9050061,21.2813274,,,,,,
HIP 9618 c,,30.9050061,21.2813274,,,,,,
HIP 97166 b,,296.2446203,74.0628577,,,,,,
HIP 97166 c,,296.2446203,74.0628577,,,,,,
HN Lib b,,218.5684823,-12.5170062,,,,,,
HR 858 b,,42.9849779,-30.8140609,,,,,,
HR 858 c,,42.9849779,-30.8140609,,,,,,
HR 858 d,,42.9849779,-30.8140609,,,,,,
HS Psc b,,24.347379,26.9528036,,,,,,
K2-10 b,,172.1216476,1.6906217,,,,,,
K2-101 b,,130.3439097,18.9338205,,,,,,
K2-104 b,,129.6366594,19.7737202,,,,,,
K2-110 b,,207.3497402,-12.2849182,,,,,,
K2-111 b,,59.8903081,21.2985263,,,,,,
K2-111 c,,59.8903081,21.2985263,,,,,,
K2-116 b,,336.1523363,-11.5793181,,,,,,
K2-117 b,,133.8557342,10.4692176,,,,,,
K2-117 c,,133.8557342,10.4692176,,,,,,
K2-118 b,,132.1268608,15.6558964,,,,,,
K2-119 b,,132.0098683,16.9017663,,,,,,
K2-120 b,,132.142853,17.1905813,,,,,,
K2-121 b,,126.9366624,17.5793267,,,,,,
K2-122 b,,126.4762179,20.3593384,,,,,,
K2-123 b,,134.4441404,21.4532748,,,,,,
K2-124 b,,133.6410515,23.1329509,,,,,,
K2-126 b,,203.5467021,-13.5769705,,,,,,
K2-127 b,,207.0782895,-11.5889878,,,,,,
K2-128 b,,204.4376666,-8.5970858,,,,,,
K2-13 b,,170.1554763,2.5027534,,,,,,
K2-130 b,,290.2705419,-19.6908744,,,,,,
K2-131 b,,182.751404,-9.7652392,,,,,,
K2-136 b,,67.4128615,22.8825674,,,,,,
K2-136 c,,67.4128615,22.8825674,,,,,,
K2-136 d,,67.4128615,22.8825674,,,,,,
K2-138 b,,348.9490311,-10.8497391,,,,,,
K2-138 c,,348.9490311,-10.8497391,,,,,,
K2-138 d,,348.9490311,-10.8497391,,,,,,
K2-138 e,,348.9490311,-10.8497391,,,,,,
K2-138 f,,348.9490311,-10.8497391,,,,,,
K2-138 g,,348.9490311,-10.8497391,,,,,,
K2-14 b,,178.0568745,2.5941222,,,,,,
K2-141 b,,350.9170464,-1.1891827,,,,,,
K2-141 c,,350.9170464,-1.1891827,,,,,,
K2-146 b,,130.0266951,19.0923416,,,,,,
K2-146 c,,130.0266951,19.0923416,,,,,,
K2-147 b,,293.8330329,-28.498475,,,,,,
K2-148 b,,14.5176494,-0.193258,,,,,,
K2-148 c,,14.5176494,-0.193258,,,,,,
K2-148 d,,14.5176494,-0.193258,,,,,,
K2-149 b,,9.8217519,7.2769939,,,,,,
K2-15 b,,178.1105741,4.2546649,,,,,,
K2-150 b,,18.3443908,8.9874328,,,,,,
K2-151 b,,19.3047733,9.5012663,,,,,,
K2-152 b,,181.6324078,-5.8274311,,,,,,
K2-153 b,,183.8088709,2.0208765,,,,,,
K2-154 b,,189.0015173,-2.6696217,,,,,,
K2-154 c,,189.0015173,-2.6696217,,,,,,
K2-155 b,,65.469614,21.3532633,,,,,,
K2-155 c,,65.469614,21.3532633,,,,,,
K2-155 d,,65.469614,21.3532633,,,,,,
K2-156 b,,182.699673,-6.2943552,,,,,,
K2-158 b,,179.9397081,-5.7216879,,,,,,
K2-158 c,,179.9397081,-5.7216879,,,,,,
